ETL Report - Thu Aug 14 21:25:17 TSS 2025
Initial API URL: https://rickandmortyapi.com/api/character
Processed file: data/processed/characters_20250814_212517.csv

PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=2
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=3
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=4
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=5
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=6
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=7
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=8
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=9
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=10
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=11
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=12
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=13
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=14
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=15
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=16
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=17
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=18
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=19
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=20
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=21
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=22
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=23
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=24
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=25
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=26
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=27
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=28
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=29
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=30
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=31
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=32
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=33
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=34
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=35
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=36
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=37
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=38
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=39
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=40
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=41
PageFile: data/raw/temp_page.json | Records: 20 | Next: https://rickandmortyapi.com/api/character?page=42
PageFile: data/raw/temp_page.json | Records: 6 | Next: null
ETL Süreci Tamamlandı.
Toplamda 42 sayfa işlendi.
Toplam kayıt: 826
Çıktı dosyası: data/processed/characters_20250814_212517.csv
